"","x"
"1021","SNU719"
"1022","SNU719"
"1023","SNU719"
"1024","SNU719"
"1025","SNU719"
"1026","NCC24"
"1027","NCC24"
"1028","SNU719"
"1029","NCC24"
"1030","SNU719"
"1031","SNU719"
"1032","SNU719"
"1033","SNU719"
"1034","SNU719"
"1035","SNU719"
"1036","SNU719"
"1037","NCC24"
"1038","NCC24"
"1039","NCC24"
"1040","SNU719"
"1041","SNU719"
"1042","SNU719"
"1043","SNU719"
"1044","SNU719"
"1045","NCC24"
"1046","NCC24"
"1047","SNU719"
"1048","SNU719"
"1049","SNU719"
"1050","SNU719"
"1051","SNU719"
"1052","SNU719"
"1053","SNU719"
"1054","SNU719"
"1055","SNU719"
"1056","SNU719"
"1057","NCC24"
"1058","NCC24"
"1059","SNU719"
"1060","SNU719"
"1061","SNU719"
"1062","SNU719"
"1063","SNU719"
"1064","SNU719"
"1065","SNU719"
"1066","SNU719"
"1067","SNU719"
"1068","SNU719"
"1069","SNU719"
"1070","NCC24"
"1071","SNU719"
"1072","NCC24"
"1073","SNU719"
"1074","SNU719"
"1075","NCC24"
"1076","SNU719"
"1077","SNU719"
"1078","SNU719"
"1079","SNU719"
"1080","NCC24"
"1081","SNU719"
"1082","SNU719"
"1083","SNU719"
"1084","SNU719"
"1085","SNU719"
"1086","SNU719"
"1087","NCC24"
"1088","SNU719"
"1089","NCC24"
"1090","SNU719"
"1091","SNU719"
"1092","NCC24"
"1093","SNU719"
"1094","SNU719"
"1095","SNU719"
"1096","SNU719"
"1097","SNU719"
"1098","NCC24"
"1099","SNU719"
"1100","NCC24"
"1101","NCC24"
"1102","SNU719"
"1103","SNU719"
"1104","SNU719"
"1105","SNU719"
"1106","NCC24"
"1107","SNU719"
"1108","NCC24"
"1109","SNU719"
"1110","SNU719"
"1111","NCC24"
"1112","SNU719"
"1113","SNU719"
"1114","SNU719"
"1115","SNU719"
"1116","SNU719"
"1117","SNU719"
"1118","SNU719"
"1119","NCC24"
"1120","SNU719"
"1121","SNU719"
"1122","NCC24"
"1123","SNU719"
"1124","SNU719"
"1125","SNU719"
"1126","SNU719"
"1127","SNU719"
"1128","SNU719"
"1129","NCC24"
"1130","SNU719"
"1131","SNU719"
"1132","SNU719"
"1133","SNU719"
"1134","SNU719"
"1135","NCC24"
"1136","SNU719"
"1137","SNU719"
"1138","SNU719"
"1139","SNU719"
"1140","SNU719"
"1141","SNU719"
"1142","SNU719"
"1143","NCC24"
"1144","SNU719"
"1145","SNU719"
"1146","NCC24"
"1147","NCC24"
"1148","SNU719"
"1149","SNU719"
"1150","SNU719"
"1151","SNU719"
"1152","SNU719"
"1153","SNU719"
"1154","SNU719"
"1155","SNU719"
"1156","SNU719"
"1157","SNU719"
"1158","NCC24"
"1159","NCC24"
"1160","SNU719"
"1161","NCC24"
"1162","SNU719"
"1163","SNU719"
"1164","SNU719"
"1165","NCC24"
"1166","SNU719"
"1167","SNU719"
"1168","SNU719"
"1169","SNU719"
"1170","SNU719"
"1171","SNU719"
"1172","SNU719"
"1173","SNU719"
"1174","NCC24"
"1175","NCC24"
"1176","SNU719"
"1177","SNU719"
"1178","NCC24"
"1179","NCC24"
"1180","SNU719"
"1181","NCC24"
"1182","SNU719"
"1183","NCC24"
"1184","NCC24"
"1185","SNU719"
"1186","NCC24"
"1187","SNU719"
"1188","SNU719"
"1189","SNU719"
"1190","SNU719"
"1191","SNU719"
"1192","NCC24"
"1193","SNU719"
"1194","SNU719"
"1195","SNU719"
"1196","SNU719"
"1197","SNU719"
"1198","SNU719"
"1199","NCC24"
"1200","SNU719"
"1201","SNU719"
"1202","NCC24"
"1203","NCC24"
"1204","NCC24"
"1205","SNU719"
"1206","NCC24"
"1207","SNU719"
"1208","SNU719"
"1209","SNU719"
"1210","SNU719"
"1211","NCC24"
"1212","NCC24"
"1213","SNU719"
"1214","NCC24"
"1215","SNU719"
"1216","SNU719"
"1217","NCC24"
"1218","SNU719"
"1219","SNU719"
"1220","SNU719"
"1221","SNU719"
"1222","NCC24"
"1223","SNU719"
"1224","NCC24"
"1225","SNU719"
"1226","SNU719"
"1227","NCC24"
"1228","NCC24"
"1229","SNU719"
"1230","SNU719"
"1231","SNU719"
"1232","NCC24"
"1233","SNU719"
"1234","SNU719"
"1235","SNU719"
"1236","NCC24"
"1237","SNU719"
"1238","NCC24"
"1239","SNU719"
"1240","SNU719"
"1241","SNU719"
"1242","SNU719"
"1243","SNU719"
"1244","NCC24"
"1245","SNU719"
"1246","SNU719"
"1247","SNU719"
"1248","NCC24"
"1249","NCC24"
"1250","SNU719"
"1251","NCC24"
"1252","SNU719"
"1253","SNU719"
"1254","SNU719"
"1255","NCC24"
"1256","NCC24"
"1257","SNU719"
"1258","SNU719"
"1259","NCC24"
"1260","SNU719"
"1261","SNU719"
"1262","NCC24"
"1263","NCC24"
"1264","NCC24"
"1265","SNU719"
"1266","SNU719"
"1267","NCC24"
"1268","SNU719"
"1269","SNU719"
"1270","SNU719"
"1271","SNU719"
"1272","NCC24"
"1273","SNU719"
"1274","NCC24"
"1275","NCC24"
"1276","SNU719"
"1277","SNU719"
"1278","NCC24"
"1279","NCC24"
"1280","NCC24"
"1281","SNU719"
"1282","SNU719"
"1283","SNU719"
"1284","NCC24"
"1285","SNU719"
"1286","SNU719"
"1287","SNU719"
"1288","SNU719"
"1289","SNU719"
"1290","SNU719"
"1291","SNU719"
"1292","SNU719"
"1293","SNU719"
"1294","SNU719"
"1295","SNU719"
"1296","NCC24"
"1297","NCC24"
"1298","NCC24"
"1299","SNU719"
"1300","SNU719"
"1301","SNU719"
"1302","SNU719"
"1303","NCC24"
"1304","SNU719"
"1305","SNU719"
"1306","SNU719"
"1307","SNU719"
"1308","SNU719"
"1309","SNU719"
"1310","SNU719"
"1311","SNU719"
"1312","NCC24"
"1313","SNU719"
"1314","NCC24"
"1315","SNU719"
"1316","NCC24"
"1317","NCC24"
"1318","NCC24"
"1319","SNU719"
"1320","NCC24"
"1321","SNU719"
"1322","SNU719"
"1323","SNU719"
"1324","NCC24"
"1325","NCC24"
"1326","SNU719"
