"","x"
"828","NCC24"
"829","SNU719"
"830","NCC24"
"831","SNU719"
"832","NCC24"
"833","SNU719"
"834","SNU719"
"835","SNU719"
"836","SNU719"
"837","SNU719"
"838","NCC24"
"839","NCC24"
"840","SNU719"
"841","NCC24"
"842","SNU719"
"843","SNU719"
"844","SNU719"
"845","SNU719"
"846","NCC24"
"847","SNU719"
"848","SNU719"
"849","NCC24"
"850","SNU719"
"851","NCC24"
"852","NCC24"
"853","SNU719"
"854","NCC24"
"855","SNU719"
"856","SNU719"
"857","NCC24"
"858","SNU719"
"859","SNU719"
"860","SNU719"
"861","SNU719"
"862","NCC24"
"863","NCC24"
"864","SNU719"
"865","SNU719"
"866","SNU719"
"867","SNU719"
"868","NCC24"
"869","SNU719"
"870","SNU719"
"871","SNU719"
"872","NCC24"
"873","SNU719"
"874","SNU719"
"875","NCC24"
"876","SNU719"
"877","NCC24"
"878","SNU719"
"879","SNU719"
"880","SNU719"
"881","NCC24"
"882","SNU719"
"883","SNU719"
"884","SNU719"
"885","SNU719"
"886","SNU719"
"887","NCC24"
"888","NCC24"
"889","NCC24"
"890","SNU719"
"891","SNU719"
"892","SNU719"
"893","SNU719"
"894","NCC24"
"895","SNU719"
"896","NCC24"
"897","NCC24"
"898","SNU719"
"899","SNU719"
"900","SNU719"
"901","NCC24"
"902","NCC24"
"903","SNU719"
"904","SNU719"
"905","SNU719"
"906","SNU719"
"907","SNU719"
"908","NCC24"
"909","NCC24"
"910","SNU719"
"911","NCC24"
"912","SNU719"
"913","SNU719"
"914","SNU719"
"915","SNU719"
"916","NCC24"
"917","SNU719"
"918","SNU719"
"919","SNU719"
"920","SNU719"
"921","NCC24"
"922","SNU719"
"923","SNU719"
"924","NCC24"
"925","NCC24"
"926","SNU719"
"927","SNU719"
"928","NCC24"
"929","SNU719"
"930","SNU719"
"931","SNU719"
"932","SNU719"
"933","NCC24"
"934","NCC24"
"935","NCC24"
"936","SNU719"
"937","SNU719"
"938","SNU719"
"939","SNU719"
"940","SNU719"
"941","SNU719"
"942","SNU719"
"943","SNU719"
"944","NCC24"
"945","SNU719"
"946","SNU719"
"947","SNU719"
"948","SNU719"
"949","NCC24"
"950","SNU719"
"951","SNU719"
"952","SNU719"
"953","NCC24"
"954","SNU719"
"955","NCC24"
"956","SNU719"
"957","SNU719"
"958","NCC24"
"959","SNU719"
"960","SNU719"
"961","SNU719"
"962","NCC24"
"963","NCC24"
"964","SNU719"
"965","SNU719"
"966","NCC24"
"967","NCC24"
"968","NCC24"
"969","NCC24"
"970","SNU719"
"971","NCC24"
"972","SNU719"
"973","NCC24"
"974","NCC24"
"975","SNU719"
"976","NCC24"
"977","SNU719"
"978","SNU719"
"979","SNU719"
"980","SNU719"
"981","SNU719"
"982","NCC24"
"983","NCC24"
"984","NCC24"
"985","SNU719"
"986","SNU719"
"987","SNU719"
"988","SNU719"
"989","SNU719"
"990","SNU719"
"991","NCC24"
"992","SNU719"
"993","SNU719"
"994","SNU719"
"995","NCC24"
"996","SNU719"
"997","SNU719"
"998","NCC24"
"999","NCC24"
"1000","NCC24"
"1001","NCC24"
"1002","NCC24"
"1003","SNU719"
"1004","SNU719"
"1005","NCC24"
"1006","SNU719"
"1007","SNU719"
"1008","SNU719"
"1009","SNU719"
"1010","SNU719"
"1011","SNU719"
"1012","NCC24"
"1013","SNU719"
"1014","SNU719"
"1015","SNU719"
"1016","SNU719"
"1017","SNU719"
"1018","SNU719"
"1019","SNU719"
"1020","SNU719"
"1021","SNU719"
"1022","SNU719"
"1023","SNU719"
"1024","SNU719"
"1025","SNU719"
"1026","SNU719"
"1027","SNU719"
"1028","SNU719"
"1029","SNU719"
"1030","SNU719"
"1031","SNU719"
"1032","NCC24"
"1033","SNU719"
"1034","SNU719"
"1035","NCC24"
"1036","NCC24"
"1037","NCC24"
"1038","SNU719"
"1039","SNU719"
"1040","SNU719"
"1041","SNU719"
"1042","NCC24"
"1043","SNU719"
"1044","NCC24"
"1045","SNU719"
"1046","SNU719"
"1047","SNU719"
"1048","NCC24"
"1049","SNU719"
"1050","SNU719"
"1051","SNU719"
"1052","NCC24"
"1053","SNU719"
"1054","SNU719"
"1055","NCC24"
"1056","SNU719"
"1057","SNU719"
"1058","SNU719"
"1059","SNU719"
"1060","SNU719"
"1061","SNU719"
"1062","NCC24"
"1063","SNU719"
"1064","SNU719"
"1065","SNU719"
"1066","SNU719"
"1067","SNU719"
"1068","NCC24"
"1069","SNU719"
"1070","NCC24"
"1071","SNU719"
"1072","NCC24"
"1073","SNU719"
"1074","SNU719"
"1075","NCC24"
"1076","SNU719"
"1077","SNU719"
"1078","SNU719"
"1079","SNU719"
"1080","SNU719"
"1081","SNU719"
"1082","NCC24"
"1083","NCC24"
"1084","SNU719"
"1085","SNU719"
"1086","NCC24"
"1087","SNU719"
"1088","SNU719"
"1089","SNU719"
"1090","SNU719"
"1091","SNU719"
"1092","SNU719"
"1093","SNU719"
"1094","NCC24"
"1095","SNU719"
"1096","SNU719"
"1097","SNU719"
"1098","SNU719"
"1099","NCC24"
"1100","SNU719"
"1101","NCC24"
"1102","SNU719"
"1103","NCC24"
"1104","SNU719"
"1105","SNU719"
"1106","SNU719"
"1107","NCC24"
"1108","NCC24"
"1109","NCC24"
"1110","SNU719"
"1111","SNU719"
"1112","SNU719"
"1113","NCC24"
"1114","SNU719"
"1115","SNU719"
"1116","SNU719"
"1117","SNU719"
"1118","NCC24"
"1119","SNU719"
"1120","NCC24"
"1121","NCC24"
"1122","SNU719"
"1123","SNU719"
"1124","SNU719"
"1125","NCC24"
"1126","SNU719"
"1127","NCC24"
"1128","SNU719"
"1129","NCC24"
"1130","SNU719"
"1131","NCC24"
"1132","SNU719"
"1133","SNU719"
"1134","NCC24"
"1135","NCC24"
"1136","SNU719"
"1137","SNU719"
"1138","SNU719"
"1139","NCC24"
"1140","NCC24"
"1141","NCC24"
"1142","NCC24"
"1143","SNU719"
"1144","NCC24"
"1145","NCC24"
"1146","SNU719"
"1147","SNU719"
"1148","NCC24"
"1149","NCC24"
"1150","NCC24"
"1151","NCC24"
"1152","SNU719"
"1153","SNU719"
"1154","NCC24"
"1155","NCC24"
"1156","NCC24"
"1157","NCC24"
"1158","SNU719"
"1159","SNU719"
"1160","SNU719"
"1161","SNU719"
"1162","SNU719"
"1163","SNU719"
"1164","NCC24"
"1165","SNU719"
"1166","NCC24"
"1167","SNU719"
"1168","SNU719"
"1169","SNU719"
"1170","NCC24"
"1171","NCC24"
"1172","SNU719"
"1173","SNU719"
"1174","NCC24"
"1175","NCC24"
"1176","NCC24"
"1177","NCC24"
"1178","SNU719"
"1179","SNU719"
"1180","SNU719"
"1181","SNU719"
"1182","SNU719"
"1183","NCC24"
"1184","SNU719"
"1185","SNU719"
"1186","SNU719"
"1187","SNU719"
"1188","NCC24"
"1189","SNU719"
"1190","NCC24"
"1191","SNU719"
"1192","SNU719"
"1193","NCC24"
"1194","SNU719"
"1195","SNU719"
"1196","SNU719"
"1197","SNU719"
"1198","SNU719"
"1199","SNU719"
"1200","SNU719"
"1201","SNU719"
"1202","SNU719"
"1203","SNU719"
"1204","NCC24"
"1205","SNU719"
"1206","NCC24"
"1207","NCC24"
"1208","NCC24"
"1209","SNU719"
"1210","SNU719"
"1211","SNU719"
"1212","SNU719"
"1213","NCC24"
"1214","SNU719"
"1215","NCC24"
"1216","SNU719"
"1217","SNU719"
"1218","NCC24"
"1219","SNU719"
"1220","SNU719"
"1221","SNU719"
"1222","SNU719"
"1223","SNU719"
"1224","SNU719"
"1225","SNU719"
"1226","SNU719"
"1227","NCC24"
"1228","SNU719"
"1229","SNU719"
"1230","NCC24"
"1231","NCC24"
"1232","NCC24"
"1233","SNU719"
"1234","SNU719"
"1235","NCC24"
"1236","SNU719"
"1237","SNU719"
"1238","SNU719"
"1239","SNU719"
"1240","NCC24"
"1241","SNU719"
"1242","SNU719"
"1243","NCC24"
"1244","SNU719"
"1245","SNU719"
"1246","NCC24"
"1247","SNU719"
"1248","SNU719"
"1249","SNU719"
"1250","SNU719"
"1251","SNU719"
"1252","SNU719"
"1253","SNU719"
"1254","SNU719"
"1255","SNU719"
"1256","SNU719"
"1257","SNU719"
"1258","SNU719"
"1259","SNU719"
"1260","SNU719"
"1261","NCC24"
"1262","SNU719"
"1263","NCC24"
"1264","NCC24"
"1265","SNU719"
"1266","NCC24"
"1267","SNU719"
"1268","SNU719"
"1269","NCC24"
"1270","SNU719"
"1271","SNU719"
"1272","NCC24"
"1273","SNU719"
"1274","SNU719"
"1275","SNU719"
"1276","SNU719"
"1277","SNU719"
"1278","SNU719"
"1279","NCC24"
"1280","SNU719"
"1281","SNU719"
"1282","SNU719"
"1283","NCC24"
"1284","SNU719"
"1285","SNU719"
"1286","NCC24"
"1287","NCC24"
"1288","SNU719"
"1289","SNU719"
"1290","SNU719"
"1291","NCC24"
"1292","SNU719"
"1293","SNU719"
"1294","SNU719"
"1295","NCC24"
"1296","SNU719"
"1297","SNU719"
"1298","NCC24"
"1299","NCC24"
"1300","SNU719"
"1301","SNU719"
"1302","NCC24"
"1303","SNU719"
"1304","SNU719"
"1305","SNU719"
"1306","NCC24"
"1307","NCC24"
"1308","NCC24"
"1309","SNU719"
"1310","SNU719"
"1311","SNU719"
"1312","NCC24"
"1313","SNU719"
"1314","SNU719"
"1315","SNU719"
"1316","SNU719"
"1317","NCC24"
"1318","SNU719"
"1319","SNU719"
"1320","SNU719"
"1321","SNU719"
"1322","SNU719"
"1323","SNU719"
"1324","SNU719"
"1325","SNU719"
"1326","SNU719"
"1327","NCC24"
"1328","SNU719"
"1329","NCC24"
"1330","NCC24"
"1331","SNU719"
"1332","SNU719"
"1333","SNU719"
"1334","NCC24"
"1335","SNU719"
"1336","NCC24"
"1337","SNU719"
"1338","SNU719"
"1339","SNU719"
"1340","NCC24"
"1341","NCC24"
"1342","SNU719"
"1343","SNU719"
"1344","SNU719"
"1345","SNU719"
"1346","SNU719"
"1347","SNU719"
"1348","SNU719"
"1349","SNU719"
"1350","SNU719"
"1351","SNU719"
"1352","SNU719"
"1353","SNU719"
"1354","SNU719"
"1355","SNU719"
"1356","SNU719"
"1357","SNU719"
"1358","NCC24"
"1359","SNU719"
"1360","NCC24"
"1361","SNU719"
"1362","SNU719"
"1363","SNU719"
"1364","SNU719"
"1365","SNU719"
